FirstName,Phone,Notes
Alice,9876543210,Interested in basic plan
Bob,9123456789,Asked for brochure
Charlie,9988776655,Follow up next week
David,9090909090,Requested demo
Emma,8989898989,Waiting for approval
Frank,8787878787,Call tomorrow morning
Grace,8686868686,Needs price details
Harry,8585858585,High potential client
Ivy,8484848484,Schedule Zoom call
Jack,8383838383,Interested in premium plan
Karen,8282828282,Shared contact with friend
Leo,8181818181,Requested email confirmation
Mona,8080808080,Follow up on Monday
Nate,7979797979,Do not call before 11 AM
Olivia,7878787878,Wants a demo next week
Paul,7777777777,Follow up in 3 days
Quinn,7676767676,Needs payment options
Rose,7575757575,Asked for free trial
Sam,7474747474,Very interested
Tina,7373737373,Send case studies
Umar,7272727272,Requested callback
Vera,7171717171,Call after 5 PM
Will,7070707070,Checking with team
Xena,6969696969,Needs urgent assistance
Yash,6868686868,Requested refund info
Zoe,6767676767,Asked about integrations
Abel,6666666666,Needs demo link
Bella,6565656565,Call again on Friday
Cory,6464646464,Demo scheduled
Dana,6363636363,Interested in annual plan
